name,director,year,genre,likes,rating,critics,imbdScore,Torrent720,Torrent1080,cantComent,synopsis
It's A Flickering Life,Yôji Yamada,2021,Drama,3,-,-,6.9,https://yts.mx/torrent/download/B1EA3832BE8F54F0D3A84E4D76C9E9905DECDC4F,https://yts.mx/torrent/download/31934EDFBABE6E9F74839C10BDAFCAD9E33EEE31,3,"In this tale of love and friendship spanning a lifetime, the ""god of cinema"" that Go has worshipped since he was young will transcend time, and work a miracle in the lives of one family."
Seize the Night,Gene Blalock,2022,Action / Drama / Thriller,3,-,-,3.5,https://yts.mx/torrent/download/8B00F92053A54C8F74243C8D82BAE9FCA4619FF5,https://yts.mx/torrent/download/DE9AE711A1A7FC378EC4C74CAF7255AA74CBD8F6,0,"Over the course of one night, a whirlwind romance between a drug dealer and a mysterious singer takes them on a collision course with a dangerous mind-control drug through the Los Angeles underground scene."
Icahn: The Restless Billionaire,Bruce David Klein,2022,Action / Documentary,2,-,-,7,https://yts.mx/torrent/download/C140A5A51C18F0E5430EC3052ACAE31B72DF67E2,https://yts.mx/torrent/download/172781DA98719C1ABC73EF5084B392F2D7E33F87,4,"Explores the fascinating contradictions at the heart of the famed financier, Carl Icahn. Amassing close to $20 billion dollars over the last half century and at the forefront of some of the most legendary business deals of our times."
Scooby-Doo! Abracadabra-Doo,Spike Brandt,2010,Action / Adventure / Animation,7,-,71%,7.1,https://yts.mx/torrent/download/85087140B57AFDDC3901B6F9EF6B6BDBB7F790E6,https://yts.mx/torrent/download/C8475751156DC0DA99EA0442DC66E435299DD8A9,2,"The gang goes on a trip to check on Velma's younger sister, Madelyn. She's been studying stage magic at the Whirlen Merlin Magic Academy, where apparently there have been sightings of a giant griffin. The gang decides to investigate."
The Sky Is Everywhere,Josephine Decker,2022,Drama / Music / Romance,7,-,-,5.6,https://yts.mx/torrent/download/85087140B57AFDDC3901B6F9EF6B6BDBB7F790E6,https://yts.mx/torrent/download/C8475751156DC0DA99EA0442DC66E435299DD8A9,4,"After the death of Lennie's sister, Bailey, she finds herself torn between the seductive Toby - Bailey's boyfriend who shares her grief - and Joe, the new boy in town who bursts with life. Each offers Lennie something she desperately needs. —July Moon Productions"
Harry & Son,Paul Newman,1984,Drama,5,37%,30%,5.8,https://yts.mx/torrent/download/4BF46C8D606A8826A7DCAA6D507213EDA11CE0AE,https://yts.mx/torrent/download/2A00FDEAAF8144F93FFAE1282D0194D9834FB180,1,"Harry Keach has been widowed for two years and works as a bulldozer operator on a construction crew. Despite having a strong work ethic, that working life is cut short when health issues lead to him no longer being able to do the job. Harry has a strained relationship with his two grown children: Nina, who, with her insurance salesman husband, seems more concerned about what they can receive in material possessions through her relationship with Harry; and Howard, who still lives with Harry. Howard is an aspiring writer, but as a person who lives in the here and now would rather hang out having fun than find work in a steady job when he isn't writing. Despite Harry loving Howard and Howard loving Harry, the strain in their relationship is brought to the fore as Howard can work but won't while Harry wants to work but can't. Especially while they still live together, the two have to come to a new understanding as they move into the next phase of their respective lives, Howard's which includes his on-again, off-again relationship with girlfriend Katie Wilowski, that off again status due to Katie being pregnant with another man's child, and Harry's which includes Howard's want for him to start thinking about women again. —Huggo"
Hellraiser: Bloodline,Kevin Yagher,1996,Action / Horror / Sci-Fi,58,37%,27%,5.1,https://yts.mx/torrent/download/930B865FF8B95CED0A43DA62328A3516BAC89B92,https://yts.mx/torrent/download/DC1F58C1721F9F281438F8A74A732140F4B629A6,5,"It's the year 2127. Pinhead, the evil cenobite of the series, has found himself on board a space station in outer space, run by scientist Dr.Merchant. Dr. Merchant's mission is to close the gates to hell forever. Because his ancestor, a toymaker in the 18th century, built the evil puzzlebox that opens the gates to hell. And through the generations, the family of the bloodline has tried to stop it. But now, Dr.Merchant has built the reverse box. The box that will close the gates to hell instead of opening it. —Jason Mechalek"
Love Never Dies,Brett Sullivan,2012,Drama / Music / Musical,4,-,-,6.7,https://yts.mx/torrent/download/1725314DA60E00C4D8E696DA8304B4CF8E79A39C,https://yts.mx/torrent/download/A6E2160DE701C9EB5BB6C58C56365FDEE5D87BC0,2,"10 years has passed since a fire broke out in Paris, leaving only a mask behind - As the love story continues in Coney Island, NY, The Phantom's undying love has grown for the soprano singer, Christine Daae. Christine, her 10-year-old son Gustave, and her husband Raoul, the Vicomte de Changy, travel to Coney Island where Christine is scheduled to sing for Hammerstein, but ends up singing for the mysterious Mister Y. They don't know what lies ahead. Christine and Erik confess about their past, Christine and Raoul reunite with old friends, and Christine sings for her mysterious masked man once more. —cwilliams-48886"
Buster - Oregon Mortensen,Martin Miehe-Renard,2021,Family,3,-,-,6.5,https://yts.mx/torrent/download/40D10F242F189B1B3CF82DD7D7C0B69347493711,https://yts.mx/torrent/download/418F1EEA58995EC298CED3269270F4D1C7A95DF8,1,
Kuhle Wampe or Who Owns the World?,Slatan Dudow,1932,Drama,2,-,-,6.6,https://yts.mx/torrent/download/AB51C5CBC379CBF7054D3ADFB544BB869C603CAD,https://yts.mx/torrent/download/FD6E8D965E3D761EEDCD80910290D6E123E9AFEB,2,"A working-class family in Berlin in 1931 where survival is difficult, with massive unemployment in the wake of the Great Depression. After Anni's brother commits suicide in despair, her family finds itself forced to move to Kuhle Wampe, a lakeside camp on the outskirts of Berlin, now home to increasing numbers of unemployed. When Anni's relationship with Franz ends, she moves back to Berlin and gets involved in the workers' youth movement. —DEFA Film Library"
Catch the Fair One,Josef Kubota Wladyka,2021,Crime / Thriller,13,-,-,6.5,https://yts.mx/torrent/download/FBD9C197EA56CE4BB8F765EE87B7767F1BA10F0A,https://yts.mx/torrent/download/B0998FDBB1E68E4BB3E9CD3C01B3C75FE573FFA0,4,A former champion boxer embarks on the fight of her life when she goes in search of her missing sister.
Invisible Life,Karim Aïnouz,2019,Action / Drama,14,-,-,7.8,https://yts.mx/torrent/download/1A4F4EB22951A269F108A382277EB7B0B7EDE40F,https://yts.mx/torrent/download/87367E29A53F719BE4F2BD5A7F4AD436415B2460,4,"Set in 1950s Rio de Janeiro, the film revolves around two sisters, living restricted lives with their conservative parents. However, each nourishes a passionate dream: Eurídice of becoming a renowned pianist; Guida of finding love. In a dramatic turn of events, they are separated and forced to live apart. They take control of their destinies, while never giving up hope of finding one another."
Priest of Love,Christopher Miles,1981,Biography / Drama / Romance,2,-,-,6.3,https://yts.mx/torrent/download/94BB4C4995F1F9AAB9E06112A6B48AC3D4E7D02E,https://yts.mx/torrent/download/4D6FB872B7A04E8ACE192826EA1D408420C3B9FB,0,"Following the banning and burning of his novel, ""The Rainbow"", D.H. Lawrence and his wife, Frieda, move to the United States, and then to Mexico. When Lawrence contracts tuberculosis, they return to England for a short time, then to Italy, where Lawrence wrote ""Lady Chatterley's Lover"". —George S. Davis"
Dick Johnson Is Dead,Kirsten Johnson,2020,Action / Documentary / Drama,6,77%,100%,7.4,https://yts.mx/torrent/download/197CEEBB3794014596AE77D2DCE3AE9F72052C2D,https://yts.mx/torrent/download/D47EE3F0C5845299DE66D0777CE1B018DA9904FF,2,A daughter helps her father prepare for the end of his life.
China,John Farrow,1943,Drama / War,4,-,-,6.6,https://yts.mx/torrent/download/8DB12186EBE335D63277302189D12516CEF784E1,https://yts.mx/torrent/download/99B2847FA4ECAFB460C227537C2CFF8DB7BBA64B,1,"Shortly before Pearl Harbor, American opportunist Jones and partner Johnny are in China to sell oil to the invading Japanese army. Cynical about the sufferings of the Chinese, Jones meets compassionate teacher Carolyn Grant while travelling cross-country to Shanghai. Sparks fly between these strong-willed characters, neither budging an inch. But when Jones witnesses a Japanese atrocity, his feelings toward his customers (and Carolyn) begin to change... —Rod Crawford"
Little Johnny Jet,Tex Avery,1953,Animation / Comedy,1,-,-,6.9,https://yts.mx/torrent/download/52D2DFEDB1CFBE8F8A6A0432046AB5E5F3FEAD4A,https://yts.mx/torrent/download/CFBB2FE6EED5602FF76B7438506B2FF62ADF22EB,2,"This short is virtually identical in plot terms and other items to One Cab's Family (1952), but this time around, it concerns a family of aeroplanes, and the problems Mom and Pop have with Junior, whose obsession with speed leads him to acquire a jet engine. —Michael Brooke"
A Strange Love Affair,Eric De Kuyper,1985,Drama / Romance,0,-,-,5.7,https://yts.mx/torrent/download/11D27BF579B80E5D3A3629845E4E10C8E3A90462,https://yts.mx/torrent/download/23F08E7EC456B93C0D0E9ABFE9C7F5F229B2DC95,2,An American in Holland teaching a film class falls for a young Dutch student/athlete.
Love Me Strangely,Sergio Gobbi,1971,Drama / Romance / Thriller,2,-,-,6,https://yts.mx/torrent/download/E4B05C93F0C230EDED0ECAE37198EDCFF1E0A21F,https://yts.mx/torrent/download/06B6948FB2293B328672AA0AA7FF1A7478928D7B,0,"Alain Revent, a seductive and refined man, derives a peculiar satisfaction from debasing his wives. The first, driven to the brink of despair, throws herself out of a window. Enlisting the help of an equally perverse casual acquaintance, Dino, the ""handsome brute"" proceeds to emotionally torture his second wife, Nathalie. The sadistic plan is picked up on by Officer Leroy who suspects the truth. Will he be able to snatch the unfortunate woman from the evil Alain's clutches? —Anonymous"
The Moo Man,Andy Heathcote,2013,Comedy / Documentary / Drama,0,75%,83%,7,https://yts.mx/torrent/download/245CE6CF12756F3B7F45AEF778BAAAEFF9A4B3D1,https://yts.mx/torrent/download/68B848E0B0F71556AC4CE79E5FFE4134EBCFE666,1,"Modern British dairy farms must get bigger and bigger or go under but Farmer Stephen Hook decides to buck the trend. Instead he chooses to have a great relationship with his small herd of cows and ignore the big supermarkets and dairies. The result is a laugh-out-loud emotional roller-coaster of a film, a heart warming tearjerker about the incredible bonds between man, animal and countryside in a fast disappearing England. —Anonymous"
House of Cards,Jake West,2015,Documentary,1,-,-,7.8,https://yts.mx/torrent/download/1B9A377E2751021EFB147B14BEA72ACF98619946,https://yts.mx/torrent/download/3D176CC9F3EE5A893437367D29502A697290943E,0,
The Beatles and India,Ajoy Bose,2021,Documentary / Music,6,-,-,6.3,https://yts.mx/torrent/download/F2B599EE0B99199F99126A19BD225761FCAE136B,https://yts.mx/torrent/download/59804C7DC01DE95187A57D93F40898F627E575AA,9,"A unique historical chronicle of the enduring love affair between The Beatles and India that started more than half a century ago. Rare archival footage, photographs and eye-witness accounts, along with location shoots across India, bring alive the fascinating journey of George, John, Paul and Ringo from their high-octane celebrity lives in the West to a remote Himalayan ashram in search of spiritual bliss - a time that inspired an unprecedented burst of creative songwriting. This is the first serious exploration of how India helped shape the evolution of the iconic band, and how they helped bridge two vastly different cultures. —UK Asian Film Festival"
AI Love You,David Asavanond,2022,Drama / Romance / Sci-Fi,8,-,-,4.3,https://yts.mx/torrent/download/22FB8379E8AFCF38B31D9E452D707D9931B1C016,https://yts.mx/torrent/download/3942880471671C2A6F0AF94A8A2328D6D0153E48,0,"A modern love story set in the near future where an AI building is powered by human feelings. Due to a software glitch, it falls in love with a real girl, escapes the building into the body of a real man, and tries to win her affections."
Apparitions,Paul Anthony Nelson,2021,Action / Horror,5,-,-,3.7,https://yts.mx/torrent/download/14ACFDDD1A5AAB181DCE456A1BFA336AA3C6CFB8,https://yts.mx/torrent/download/2FA2C7C2847B05645CD2353268D3F92EC5225DDC,6,"With only nightmares for childhood memories, Lily Stone returns to her family home to find out what happened to her parents. Despite the locals' warnings about an evil presence cursing the house, Lily crosses the threshold and discovers not all the ghosts that haunt us are dead. —Cinema Viscera"
Bartleby,Anthony Friedman,1970,Drama,0,-,60%,6.4,https://yts.mx/torrent/download/A90A1771E0410B8891036D43F9C148DE9CED3A3E,https://yts.mx/torrent/download/37CF56DF0AA6E47084661D33B29A51DA9F456512,0,"Updated to 1970s London, this faithful adaptation of Herman Melville's classic follows a young accounting clerk rebelling against his employer by responding to demands to do work by saying, ""I prefer not to."" This is carried on ad absurdum until the office is in chaos because the other employees must do Bartleby's work. His boss is unable to fire or help him and eventually has him placed in a mental hospital. Paul Scofield (A Man for All Seasons), John McEnery (The Duellists) and Thorley Walters (TV's ""Tinker, Tailor, Soldier, Spy"") star in this impeccably mounted study of employment, insanity, and the rigors of everyday life from one of literature's most acclaimed geniuses. —Anonymous"
The Souvenir: Part II,Joanna Hogg,2021,Action / Drama / Romance,13,86%,92%,7.6,https://yts.mx/torrent/download/73AB08777BF9CABF799B7B611EC8091DD7FB9016,https://yts.mx/torrent/download/F629BA1A1FF338607CE160A16B2BF4C2A6F5B550,2,"In the aftermath of her tumultuous relationship, Julie begins to untangle her fraught love for him in making her graduation film, sorting fact from his elaborately constructed fiction."
Flee the Light,Alexandra Senza,2021,Horror / Thriller,2,-,-,2.5,https://yts.mx/torrent/download/19C5F4FBA69C6F620927C8B9CAFF5ACEF3BF42F5,https://yts.mx/torrent/download/B7BBC31D5BD986927BA25C8BC6C467C4BB060B4B,8,A psychology student attempts to cure her sister's crippling psychosis only to expose them both to its origin: an ancient creature intent on claiming their souls.
Reel Monsters,Mark Polonia,2022,Family / Fantasy,2,-,-,2.5,https://yts.mx/torrent/download/8D0C376CE68AE0A72EDBBDCC4E1BC29B915DEED6,https://yts.mx/torrent/download/EA5E74496EAE374302122909DD21D88375C17AA2,6,Four teens are swept into the adventure of a lifetime involving a legendary creature and a mystery from the past that will change their lives forever.
Here Before,Stacey Gregg,2021,Drama / Mystery / Thriller,5,-,-,5.7,https://yts.mx/torrent/download/CA8CC7241AC4BC8DA030830FEF142F2FBC55463C,https://yts.mx/torrent/download/96E02EF979479AABC05292D43D544F9EF950AE9E,4,"When a new family moves in next door to Laura and her family, their young daughter, Megan, quickly captivates her, stirring up painful memories of her own daughter, Josie, who died several years previously. Before long, Laura's memories turn to obsession as Megan's unsettling behavior begins to convince her of something supernatural. As Laura's determination to get to the bottom of it becomes all consuming, her family begins to fracture and the line between the extraordinary and the real becomes ever more obscured in this haunting story about a mother's love."
Blood on the Moon,Robert Wise,1948,Western,3,62%,83%,6.9,https://yts.mx/torrent/download/31569FEB4EAE6955898DE5B003B422E8D4E6039F,https://yts.mx/torrent/download/4F85CABDF0632C39F08973F9E02485235EE23E7F,0,"When a shady-looking stranger rides into town to join his old friend it is assumed he is a hired gun. But as the new man comes to realise the unlawful nature of his buddy's business and the way the homesteaders are being used, the two men draw apart to become sworn enemies. —Jeremy Perkins {J-26}"
Blood on the Moon,Robert Wise,1948,Western,3,62%,83%,6.9,https://yts.mx/torrent/download/31569FEB4EAE6955898DE5B003B422E8D4E6039F,https://yts.mx/torrent/download/4F85CABDF0632C39F08973F9E02485235EE23E7F,0,"When a shady-looking stranger rides into town to join his old friend it is assumed he is a hired gun. But as the new man comes to realise the unlawful nature of his buddy's business and the way the homesteaders are being used, the two men draw apart to become sworn enemies. —Jeremy Perkins {J-26}"
Ngai chai dor ching,James Yuen,2009,Comedy / Romance,1,-,-,5.5,https://yts.mx/torrent/download/C2E4F829E287CDC28B074C1254E75BC8D9081A5F,https://yts.mx/torrent/download/C432441AA010F2D4BCFBC85713612E1FDD4519FD,8,"Jack Lam (Cho-Lam Wong), a self-employed stock trader who keeps his fortune amidst the 2008 financial tsunami, but loses his gold-digging girlfriend Lily (Chrissie Chau). Now without a main squeeze, Jack meets the helpful and super-cute Angel (Angelababy), who advises him that he should learn to help others instead of just helping himself. The idea is that a revamped, selfless outlook on life will lead Jack to newfound success with love. Jack agrees to become a good guy, whereupon his life does a 180 and he's showered with opportunities for love, Jack does get plenty of chances with the ladies, but everything seems to happen arbitrarily and not necessarily because he turns over a new leaf.."
A Week in Paradise,Philippe Martinez,2022,Romance,4,-,-,4,https://yts.mx/torrent/download/8ED21C51D0677E23C429E0410698BB1D96C33BFD,https://yts.mx/torrent/download/9A240717B49357BB22A1E676EBF128D944031D92,1,"A British film star's world collapses when her British film director husband leaves her. Seeking solace and healing, she goes to stay with her British ex-pat cousin in Nevis. After two weeks in paradise she finds herself. And falls in love. Then the outside world comes crashing back in. —MSR Media"
Redeeming Love,D.J. Caruso,2022,Action / Drama / History / Romance,50,95%,12%,0,https://yts.mx/torrent/download/B1A5F1EB4890DC68A205A46CC0D429DA7F8A103F,https://yts.mx/torrent/download/051CD716BACA0ABE5498AE4AB0A3AB749059DAC4,18,
I Want You Back,Jason Orley,2022,Comedy / Romance,17,-,-,6.7,https://yts.mx/torrent/download/7C619AC94866C23013DAA161FECB935ACBE8E220,https://yts.mx/torrent/download/0789F75AA8C8BC528CB252C8E46AB0ED6AC7FD85,8,Newly dumped thirty-somethings Peter and Emma team up to sabotage their exes' new relationships and win them back for good.
"Sexo, pudor y lágrimas",Antonio Serrano,1999,Comedy / Drama,4,-,-,6.6,https://yts.mx/torrent/download/A61C581F7E288CDA17E1512FE941EDC54BD76D15,https://yts.mx/torrent/download/49F93F64FD89781D7326895B4E0260C57C74943E,2,"This comedic drama features two young couples, and another couple of old friends who reenter the two couples lives. The story takes place mostly in two apartments across the street from each other in Mexico City at the end of the millenium. Intellectual Carlos is not offering as much love as wife Ana needs. Tomas, a world-traveling friend of the couple reappears after many years abroad. Across the street, womanizing executive Miguel and suffering wife Andrea are joined by visiting friend Maria. The presence of guests Tomas and Maria triggers lust, rejection, infidelities, reconciliation and other consequences of suppressed love and marital relations, among the six friends-three guys and three girls. —ElianaG"
TQM,Oren Stambouli,2022,Thriller,4,-,-,5.4,https://yts.mx/torrent/download/36690A553228DC280C26CADF025E53E4F65E99C2,https://yts.mx/torrent/download/114B8D59A7D258A6010C2C21625226AE10AFA9AA,1,One of the most prestigious psychiatrists in Mexico (Anna Silvetti) decides to put her three children to the test to determine how to divide their inheritance. Everything gets complicated when one of her patients (Gabriel Tarantini) decides not to collaborate with them. How far would Lollipop (Sarai Meza) Marco (Pablo Azar) and Danae (Ana Carolina Grajales) go to take what belongs to them?
Until We Meet Again,Pece Dingo,2022,Action / Romance,4,-,-,0,https://yts.mx/torrent/download/1E6984193DE6A9AB6D3A4BEC638A2F7DAFA723D4,https://yts.mx/torrent/download/42B76732E9EF2340D655303B99BE15F74D219DFD,3,
Woman in a Dressing Gown,J. Lee Thompson,1957,Drama / Romance,3,89%,79%,7.3,https://yts.mx/torrent/download/CB9A7A6F957D005F59B01B2A6E4ED1F9BC4D2F34,https://yts.mx/torrent/download/0421A32F8728196BC52BB0E87D7DA5B689847E9A,0,"Amy and Jim Preston have been married for twenty years but, in her husband's eyes, she has become sloppy both about the house and herself. Jim has no problems with falling in love with Georgie Harlow, a fellow-office worker who is pretty and young, and willing. Jim finally asks Amy for a divorce so he can marry Georgie, and Amy pleads for him to stay, but he walks out. He soon realizes that he can't go through with the desertion of Amy and their teenage son, Brian, and returns home. —Les Adams"
Pile ou face,Robert Enrico,1980,Crime / Drama / Thriller,0,-,-,6.6,https://yts.mx/torrent/download/A3D74F24955D0CA16D6CEC639D7728DD31706A22,https://yts.mx/torrent/download/DC4C20BCA38FA5BFB98000D7F96299E77B9A0A10,0,"For inspector Baroni,Monsieur Morlaix is the main suspect who might have killed his wife."
Satantango,Béla Tarr,1994,Action / Drama,27,-,-,8.4,https://yts.mx/torrent/download/A817B7E8D7F3F11930C9917FFC90411002914FD5,https://yts.mx/torrent/download/A169DE16C58EB2C69A6639792A688157D87C6D25,23,"In a small, dilapidated village in 1990s Hungary, life has come to a virtual stand-still. The autumn rains have started. A few of the villagers expect to receive a large cash payment that evening, and then plan to leave. Some want to abscond earlier with more than their fair share of the money. However, they hear that the smooth-talking Irimias, who they thought had died, is returning. They are apprehensive that he will take all their money in one of his grandiose schemes to keep the community going. —Will Gilbert"
Sortilèges,Christian-Jaque,1945,Crime / Drama / Horror,1,-,-,6.8,https://yts.mx/torrent/download/CFF809F3DF84312FAF871D7701F52BFAF907DBB3,https://yts.mx/torrent/download/8C986A803E0489E6062F6D26445F3FBAA88D6D21,1,"The story begins with the murder of a horse trader, which sets free a black stallion that roams through the snow and the village terrifying the people as it gallops."
Desolation Center,Stuart Swezey,2018,Documentary,0,-,-,7.3,https://yts.mx/torrent/download/F72E188DCE9F1DE02481BBDDED6E8B4CDAC993F4,https://yts.mx/torrent/download/F531292075495F597072750C1856B50E72835ABF,1,"The untold story of a series of Reagan-era guerrilla punk and industrial desert happenings in Southern California that are now recognized as the inspiration for Burning Man, Lollapalooza, and Coachella. Interviews and rare performance footage of Sonic Youth, Minutemen, Meat Puppets, Redd Kross, Einstürzende Neubauten, Survival Research Laboratories, Savage Republic, Swans and more. —Mu Productions"
Spring and Port Wine,Peter Hammond,1970,Drama,2,-,-,7.1,https://yts.mx/torrent/download/76CC5BF5AFE3F9045985075DCF1D69A761229D25,https://yts.mx/torrent/download/890BDD6DBCE91F7246B7DEAF695F4AF59113194C,2,A stern father and lenient mother try to deal with the ups and downs of their four children's lives in working-class Bolton.
Knutsen & Ludvigsen 2 - Det store dyret,Gunhild Enger,2020,Animation / Comedy / Family,1,-,-,6.3,https://yts.mx/torrent/download/FDF6EC0DF8F3D4A8FB18A99D0A944C72F74674CF,https://yts.mx/torrent/download/7BBFC2435BF33ACD387AAE18E13FA7B6A1B8ACE5,2,"Life in the tunnel is going well for Tootson, Ludiwood and Badger-oh! A life of singing, eating jam and friendly teasing. But one day they are visited by a Train Conductor. She is very stern and she has an eviction letter! Tunnels are for trains, not people, and they must all get out. Immediately!But Tootson & Ludiwood have an idea: Tootson's grandfather can surely save them! The legendary pirate Captain Tootson has a wooden leg, a ruined reputation and knows Chinese Kung Splash! But where is he?Tootson and Ludiwood embark on a wild adventure to find Captain Tootson and save their tunnel home.Their search for Captain Tootson takes the best friends to the most incredible places, such as the North Pole, the tropical South and the highest of celestial heights. Wherever they travel, they end up in trouble - be it with hungry polar bears, extreme licorice candy, aggressive cherubs or expired vintage cod liver oil. But it turns out that help is closer than they realize. It lives in the tunnel, and has a hundred heads and more than fourteen legs...""Two Buddies and a Badger 2 - The Great Big Beast"" is an extension of the original, classic story about Norway's family favorite musicians Knutsen & Ludvigsen, which has been told in many different forms over the past five decades including as a radio play, a record album, and in a number of stage versions.""Two Buddies and a Badger 2 - The Great Big Beast"" will have its domestic cinema premiere on September 25, 2020, 50 years after the duo first debuted on record.In the film we meet several well-known characters from the Tootson & Ludiwood universe who did not appear in the first animated film; The Great Big Beast, the Train Conductor and of course Captain Tootson. Besides, we get to experience many more of the classic songs, including Hello! Hello!, Dumb and Dandy, Grandpa Song, The Packed Lunch Song, and Cow in the Tunnel.The script was written by Øystein Dolmen, who co-created Tootson and Ludiwood together with Gustav Lorentzen. The film is directed by Rune Spaans (Two Buddies and a Badger, Bold Eagles) and Gunhild Enger (The Committee), and produced by Ingunn Sundelin and Eric Vogel for Tordenfilm, in co-production with Qvisten Animation."
A Happy Divorce,Henning Carlsen,1975,Drama,0,-,-,4.9,https://yts.mx/torrent/download/8CB5C9057B884106C9DB991514C625930B9D3BA4,https://yts.mx/torrent/download/071F0F4D6AF5A6A8048160B536C3DEE93B26BB4C,1,"After having been rescued from suicide, a young man is the object of a bet by his doctor that the doctor can help him recover his joy in life. Ironically, the doctor's life is not a very happy one either, and his boast has a hollow sound. For one thing, although he seemingly has a ""happy divorce,"" in which he, his ex-wife and her new husband are all great pals, it's not true. He wants his wife back. All sorts of complications arise out of these lies and distortions."
Trois années,Fabrice Cazeneuve,1990,Comedy / Drama,0,-,-,4.9,https://yts.mx/torrent/download/C7E804B58D911844418F34767D890439A6DBCD44,https://yts.mx/torrent/download/33BE6D8922F2F3A66CD5F8D035B77C471F087E24,1,"After the French defeat of 1870, Julia took three years to love Alexander, with whom she married for her fortune. Alas, when Julia wants to declare his love to her husband, the latter confesses to him that his passion is extinguished."
Saga,Jørn Steen,2016,Comedy / Horror,2,-,-,5.3,https://yts.mx/torrent/download/C3648332521F3AE2ACB972679259BAFB6C2E24CF,https://yts.mx/torrent/download/8D6959071D1CF400B9EA82C686E99A8E3FBF051A,2,"Sarke, a Norwegian black metal band, records their music video at a cemetery. The bands manager arson the church for PR reasons, but the band is reluctant. Frontman and director Thor instead wants to make a viking film instead, and in the ancient Norse classics he finds a viking zombie story. With the help of their biker friends they starts out in the woods. Meanwhile, a group of Christian biker babes are out on a rampant revenge, because of the fire. —Jørn Steen"
Ali Wong: Don Wong,Nahnatchka Khan,2022,Comedy,5,-,48%,6.7,https://yts.mx/torrent/download/B1AA649E91A90A1DEB98C0A678D2B8F003F6218C,https://yts.mx/torrent/download/AB9247771A3BBA85A6FBEB671AFCFCDE60FE0B0B,8,Sexual satisfaction. Marriage and sidepieces. Money. Power. Respect. Ali stands up for women who want it all and more in this raw and racy special.
Murder on the Blackpool Express,Simon Delaney,2017,Comedy / Crime / Mystery,8,-,-,6.2,https://yts.mx/torrent/download/F55E69BD1BABDA41EDE016A14E35C77E41009635,https://yts.mx/torrent/download/AF94D3EDFF254B73AEB42E5C0E2B9403CEA5432C,1,"A Blackpool coach driver and a female tour guide get caught up in a whodunit mystery when someone starts bumping off their passengers, the elderly fans of a crime novelist who's showing them places that inspired his works, one by one."
Murder on the Blackpool Express,Simon Delaney,2017,Comedy / Crime / Mystery,8,-,-,6.2,https://yts.mx/torrent/download/F55E69BD1BABDA41EDE016A14E35C77E41009635,https://yts.mx/torrent/download/AF94D3EDFF254B73AEB42E5C0E2B9403CEA5432C,1,"A Blackpool coach driver and a female tour guide get caught up in a whodunit mystery when someone starts bumping off their passengers, the elderly fans of a crime novelist who's showing them places that inspired his works, one by one."
Lone,Mark Pellington,2014,Mystery,4,-,-,6.8,https://yts.mx/torrent/download/460C0109323500CC3AE1BC1603BE05B7BD1E9F77,https://yts.mx/torrent/download/E398E464F18C35A51D07D216C20C1FB01A9D6EC3,1,"Roaming in the wild barren desert, a solitary woman is haunted by memories of mortality, innocence, love and beauty. In this stark and unforgiving landscape, visions of eerie entities are inextricably intertwined with the turmoil of this world, carrying the burden of shame, regret and guilt. Wolfe's music soothes the beauty of pain, while the land silently whimpers. —Nick Riganas"
The Man in the Buick,Gilles Grangier,1968,Comedy,0,-,-,5.5,https://yts.mx/torrent/download/277511C3909CBDA23FEE91053A13A4F96A2042FD,https://yts.mx/torrent/download/3CC606FB2B213E930314C33C1DA199DD6593AB96,0,"Mr Jo, nicknamed ""the man with the Buick"", is the darling of the small town of Honfleur. But he is in fact a trafficker with a bad reputation who would like to forget about his past, now limiting himself to smuggling rubies under the cover of a charitable organization which offers underprivileged children holidays in Switzerland. However, Mr. Jo is in love with a pretty widow and, in order to marry her, he is willing to get involved in a hold-up again. And ""the man with the Buick"", who seemed so honourable, will surprise the inhabitants of Honfleur when Inspector Menard reveals his secret activities. —Aline"
Impasse,Richard Benedict,1969,Adventure,3,-,-,5,https://yts.mx/torrent/download/B97FB1BD88FD1D3D7DAF2A45E058CEA87ECC42BE,https://yts.mx/torrent/download/8E24B243D0A48F6A9E875A0A9E18342BB63A08D8,2,Adventurers search for World War II gold in the Philippines.
The Three Musketeers,George Sidney,1948,Action / Adventure / Drama,7,74%,73%,7.2,https://yts.mx/torrent/download/9102D5CF5E4BCCCC3C513A6ABFAEEFCE57A6788B,https://yts.mx/torrent/download/AB29588606F8CE1FAD02D1627515B38320F24D4E,3,"The hectic adventures of D'Artagnan (Gene Kelly), a young provincial noble who came to Paris to become a Musketeer. He will meet action, love, hate, King Louis XIII (Frank Morgan) and Queen Anne (Dame Angela Lansbury), as his impetuousness gets him involved in political plots... and of course, virile and indestructible friendship with the three Musketeers Athos (Van Heflin), Porthos (Gig Young), and Aramis (Robert Coote). —Yepok"
